sha256,file_identifier,local_path,label,rendered,voxelized,num_voxels,cond_rendered,feature_dinov2_vitl14_reg,ss_latent_ss_enc_conv3d_16l8_fp16,latent_dinov2_vitl14_reg_slat_enc_swin8_B_64l8_fp16
14c588be111b504365937be7d9bb711e2d6e49e99d6dcdc9ac331dae00a9be9f,surface_dataset/AllFields_Resultats_MESH_11.obj,../surface_dataset/AllFields_Resultats_MESH_11.obj,,True,True,8407,False,True,True,True
522265759a32074bbbb6c6617543e923c71f9682d4d9eb84d2b0a73e9b07e087,surface_dataset/AllFields_Resultats_MESH_121.obj,../surface_dataset/AllFields_Resultats_MESH_121.obj,,True,True,6931,False,True,True,True
a83baf92286cc1e7aa7c2cd5dab3ea284ec4e37a0ff85234c17b6b4bf54cf415,surface_dataset/AllFields_Resultats_MESH_158.obj,../surface_dataset/AllFields_Resultats_MESH_158.obj,,True,True,6717,False,True,True,True
f5a0afa448b17332c9ccbeafb05a70ba87768f2e4da8f8702b378017fad9851f,surface_dataset/AllFields_Resultats_MESH_185.obj,../surface_dataset/AllFields_Resultats_MESH_185.obj,,True,True,6219,False,True,True,True
57642384d5a94566f48afc2f39153ca6c6a334471e6ab908d1be4a1c12628cb0,surface_dataset/AllFields_Resultats_MESH_137.obj,../surface_dataset/AllFields_Resultats_MESH_137.obj,,True,True,7428,False,True,True,True
4062b1fdf4a49a0561fad855936d22f8443c1da0a09d1d234b1c0ab1f9bfd370,surface_dataset/AllFields_Resultats_MESH_215.obj,../surface_dataset/AllFields_Resultats_MESH_215.obj,,True,True,6352,False,True,True,True
1526a36cae42b4ecddbb4d53b66c8ad71488bde8ff20fa7ee241cd910baee66a,surface_dataset/AllFields_Resultats_MESH_34.obj,../surface_dataset/AllFields_Resultats_MESH_34.obj,,True,True,7348,False,True,True,True
b91cb75a64bf19271b27ddd3aac98b4dd1c8ba0142c7d54b9058d69b21cd9783,surface_dataset/AllFields_Resultats_MESH_192.obj,../surface_dataset/AllFields_Resultats_MESH_192.obj,,True,True,6962,False,True,True,True
538f2fb9a83a9d113efd586dac84be59c014aac4bd588d74afb0d4071fbb1b34,surface_dataset/AllFields_Resultats_MESH_144-2.obj,../surface_dataset/AllFields_Resultats_MESH_144-2.obj,,True,True,6735,False,True,True,True
95b9100c1ef299a9f8957e8a9837c91ed138d774f3dd4cdfa778817ea9a33281,surface_dataset/AllFields_Resultats_MESH_140.obj,../surface_dataset/AllFields_Resultats_MESH_140.obj,,True,True,7804,False,True,True,True
0d1d27f7ec7edeffc0ff247a4b01fa93c7f297c287a1645edd86e1902c25503f,surface_dataset/AllFields_Resultats_MESH_2.obj,../surface_dataset/AllFields_Resultats_MESH_2.obj,,True,True,7398,False,True,True,True
7b7caf0a524fb0ae3e9e608de6d929233e035fcfcfbe6c501fc8d847b58cbffa,surface_dataset/AllFields_Resultats_MESH_54-2.obj,../surface_dataset/AllFields_Resultats_MESH_54-2.obj,,True,True,7810,False,True,True,True
27c4d585878da2fad839ed2b87f04d8282ef901b79a47d9c30dfb6f2f23fffe5,surface_dataset/AllFields_Resultats_MESH_163-1.obj,../surface_dataset/AllFields_Resultats_MESH_163-1.obj,,True,True,6845,False,True,True,True
92d26fed0e99efe4f3973bb967346bd0847abbf0a28dbb9c9ae89ca359e8949f,surface_dataset/AllFields_Resultats_MESH_196-2.obj,../surface_dataset/AllFields_Resultats_MESH_196-2.obj,,True,True,7118,False,True,True,True
05031ba96df09b5190cd255367113a6dab9da9b22f4affffd1163d55f1f16e86,surface_dataset/AllFields_Resultats_MESH_172.obj,../surface_dataset/AllFields_Resultats_MESH_172.obj,,True,True,9289,False,True,True,True
d38a7819986503715d3406c5a820769de90deade2c780403425782b19cb97d4d,surface_dataset/AllFields_Resultats_MESH_195.obj,../surface_dataset/AllFields_Resultats_MESH_195.obj,,True,True,6168,False,True,True,True
a78485c901a57e860bcab33bfb11643fdff8b09c4f5a31836ea1289879fca793,surface_dataset/AllFields_Resultats_MESH_148.obj,../surface_dataset/AllFields_Resultats_MESH_148.obj,,True,True,6791,False,True,True,True
e5701b1cdb598fd13e1a192817bb89d236006e7ba2619080c500dfed5dc448c1,surface_dataset/AllFields_Resultats_MESH_181.obj,../surface_dataset/AllFields_Resultats_MESH_181.obj,,True,True,6684,False,True,True,True
438383e640c55a550e5a7869d6be0f9601fabe8ee5cbb9f596ca69b49998e467,surface_dataset/AllFields_Resultats_MESH_3.obj,../surface_dataset/AllFields_Resultats_MESH_3.obj,,True,True,10052,False,True,True,True
17e5fc976945d4a01fee4d84126695e49c7e6e7fef5ee6b9e530e4f215a2f2c7,surface_dataset/AllFields_Resultats_MESH_206.obj,../surface_dataset/AllFields_Resultats_MESH_206.obj,,True,True,6743,False,True,True,True
a5aaa46c1962745fa130dc04e81300693850710f22c07a1e6c1eaa83cad7e5b4,surface_dataset/AllFields_Resultats_MESH_217.obj,../surface_dataset/AllFields_Resultats_MESH_217.obj,,True,True,6949,False,True,True,True
827224129ba6c5795db6dbaae9c0a2a8ffb6100c515b0ee028c494d433a864d9,surface_dataset/AllFields_Resultats_MESH_200.obj,../surface_dataset/AllFields_Resultats_MESH_200.obj,,True,True,7774,False,True,True,True
0ae40871195581012746ff0720aa074a3cdbf87551122046ef972180bef4360a,surface_dataset/AllFields_Resultats_MESH_9-1.obj,../surface_dataset/AllFields_Resultats_MESH_9-1.obj,,True,True,7347,False,True,True,True
51487bbf86ec63bdcf48bd0dfe53d9707df8cb426b64993b4db71f2aede9449f,surface_dataset/AllFields_Resultats_MESH_168-2.obj,../surface_dataset/AllFields_Resultats_MESH_168-2.obj,,True,True,6657,False,True,True,True
c78557de12a8e65042d7487743347c22066dc91e76c1011094256829b3fdec6f,surface_dataset/AllFields_Resultats_MESH_151.obj,../surface_dataset/AllFields_Resultats_MESH_151.obj,,True,True,8695,False,True,True,True
91f93909a3444b28ff92a65cd703eca468b497eeb8d92352461b64101fe1a44d,surface_dataset/AllFields_Resultats_MESH_44.obj,../surface_dataset/AllFields_Resultats_MESH_44.obj,,True,True,6668,False,True,True,True
96267de44b3d31d0b2a182b21187d0b0c780c14a68b6b79a700ca79b0098bc6e,surface_dataset/AllFields_Resultats_MESH_211.obj,../surface_dataset/AllFields_Resultats_MESH_211.obj,,True,True,6153,False,True,True,True
6dae80de6de09eac2254a64e9f07b74d3e5b0203846973a4b5aa4d0dc3760279,surface_dataset/AllFields_Resultats_MESH_174.obj,../surface_dataset/AllFields_Resultats_MESH_174.obj,,True,True,7093,False,True,True,True
078494765866d7a1af9cf5851ef64727a804378ac888b76f6b06e7307f83802e,surface_dataset/AllFields_Resultats_MESH_196-1.obj,../surface_dataset/AllFields_Resultats_MESH_196-1.obj,,True,True,6440,False,True,True,True
4feceacb88fd540d2f88585f445a87d2ae3b289586bd797242390bdde9d81d64,surface_dataset/AllFields_Resultats_MESH_25.obj,../surface_dataset/AllFields_Resultats_MESH_25.obj,,True,True,7194,False,True,True,True
1879dbca29ee023bd23384d636b2d515a4c3b02c6290c8233393177b899ed6dc,surface_dataset/AllFields_Resultats_MESH_42-3.obj,../surface_dataset/AllFields_Resultats_MESH_42-3.obj,,True,True,7466,False,True,True,True
